cap,total_cost,total_carbon,backorder,optimality,pareto_optimal
8700,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8695,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8690,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8685,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8680,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8675,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8670,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8665,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8660,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8655,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8650,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8645,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8640,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8635,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8630,81986.65625643037,93181.43289075051,140.0,OPTIMAL,false
8625,81988.22548356211,93183.53692146417,140.0,OPTIMAL,false
8620,81989.79471069385,93185.64095217783,140.0,OPTIMAL,false
8615,81991.36393782559,93187.74498289148,140.0,OPTIMAL,false
8610,81992.93316495734,93189.84901360514,140.0,OPTIMAL,false
8605,81994.50239208908,93191.95304431877,140.0,OPTIMAL,false
8600,81996.07161922082,93194.05707503243,140.0,OPTIMAL,false
8595,81997.64084635257,93196.16110574608,140.0,OPTIMAL,false
8590,81999.21007348433,93198.26513645973,140.0,OPTIMAL,false
8585,82000.77930061608,93200.36916717337,140.0,OPTIMAL,false
8580,82002.34852774782,93202.47319788703,140.0,OPTIMAL,false
8575,82003.91775487956,93204.57722860068,140.0,OPTIMAL,false
8570,82005.48698201128,93206.68125931431,140.0,OPTIMAL,false
8565,82007.05620914303,93208.78529002798,140.0,OPTIMAL,false
8560,82008.62543627479,93210.88932074163,140.0,OPTIMAL,false
8555,82010.19466340652,93212.99335145527,140.0,OPTIMAL,false
8550,82011.76389053829,93215.09738216891,140.0,OPTIMAL,false
