global_cap,total_cost,total_carbon,total_backorder,optimality,pareto_optimal
100000,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
99000,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
98000,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
97000,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
96000,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
95000,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
94000,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
93000,82005.48845590511,93000.00000000001,158.59288292934718,OPTIMAL,true
92000,82186.28810902896,92000.00000000004,263.8596678023862,OPTIMAL,true
91000,82435.0407091117,91000.00000000003,369.8448341593596,OPTIMAL,true
90000,82811.82364341084,90000.00000000004,490.0,OPTIMAL,true
89000,83265.96485995522,89000.00000000001,569.0396420581652,OPTIMAL,true
88000,83786.94946308722,88000.00000000001,659.4026845637587,OPTIMAL,true
87000,84649.56296486376,87000.00000000003,758.099881563363,OPTIMAL,true
86000,85551.91348107498,86000.00000000003,887.8930631771493,OPTIMAL,true
85000,86649.37072463766,85000.00000000003,1098.0,OPTIMAL,true
84000,87801.67174054497,84000.0,1102.0,OPTIMAL,true
83000,89033.3440079141,83000.00000000001,1238.0,OPTIMAL,true
82000,90305.24903900508,82000.00000000001,1238.0,OPTIMAL,true
81000,91577.15407009609,81000.00000000001,1238.0,OPTIMAL,true
80000,92864.14752590843,80000.00000000001,1320.842450478811,OPTIMAL,true
79000,94276.24095224313,79000.00000000001,1446.0,OPTIMAL,true
78000,95788.78333333333,78000.00000000001,1493.3333333333298,OPTIMAL,true
77000,97383.10276393828,77000.00000000001,1752.0,OPTIMAL,true
76000,99369.17175700476,76000.00000000001,1988.9670867490504,OPTIMAL,true
75000,101363.54346873853,75000.0,2233.675272237857,OPTIMAL,true
74000,103500.63577352771,74000.0,2397.9405415640967,OPTIMAL,true
73000,105657.16898736675,73000.0,2679.849190682984,OPTIMAL,true
72000,107916.34782668769,72000.0,2877.2435846821945,OPTIMAL,true
71000,110282.97889273356,71000.00000000001,3101.0,OPTIMAL,true
70000,112718.49971130707,70000.00000000003,3103.7058941459422,OPTIMAL,true
69000,115361.9725744702,69000.00000000003,3404.500255911549,OPTIMAL,true
68000,118464.13207323363,68000.0,3738.9355337802963,OPTIMAL,true
67000,121602.86337802991,67000.0,4151.519339865908,OPTIMAL,true
66000,124814.6801699029,66000.0,4559.104368932036,OPTIMAL,true
65000,128160.46848770342,65000.000000000015,4952.637342469104,OPTIMAL,true
64000,131684.2663587422,64000.000000000015,5319.699620702309,OPTIMAL,true
63000,135272.81034482757,63000.00000000001,5702.440256615874,OPTIMAL,true
62000,139047.9504833526,62000.00000000001,6098.118395680674,OPTIMAL,true
61000,143034.32405322016,61000.00000000001,6483.772078673348,OPTIMAL,true
60000,147073.91364827222,60000.00000000001,7001.825167612165,OPTIMAL,true
59000,151238.09649820923,59000.00000000001,7512.20791882212,OPTIMAL,true
58000,155575.0147193263,58000.00000000001,8010.669807538088,OPTIMAL,true
57000,160395.62372168282,57000.0,8533.187702265368,OPTIMAL,true
56000,165358.21323626573,55999.99999999999,9064.673436926463,OPTIMAL,true
55000,170449.68308612684,54999.99999999999,9601.197730789063,OPTIMAL,true
54000,175608.01212171218,53999.99999999999,10220.07343991748,OPTIMAL,true
53000,180998.42875200472,53000.00000000001,10853.252806736158,OPTIMAL,true
52000,186713.14406876496,52000.00000000001,11454.696271050518,OPTIMAL,true
51000,192504.00124051925,51000.00000000001,11982.869906157597,OPTIMAL,true
50000,198660.74989685396,50000.00000000002,12698.372563176881,OPTIMAL,true
49000,205133.44401199062,49000.00000000001,13286.228068028871,OPTIMAL,true
48000,211723.24475728153,48000.00000000001,13943.320388349512,OPTIMAL,true
47000,218445.774463373,47000.00000000001,14673.800681430996,OPTIMAL,true
46000,225275.2108983286,46000.00000000002,15370.172701949848,OPTIMAL,true
45000,232410.48320848323,45000.000000000015,16151.723124817574,OPTIMAL,true
44000,239624.48231392202,44000.000000000015,16936.93443887388,OPTIMAL,true
43000,247248.85562668715,43000.000000000015,17579.690577195,OPTIMAL,true
42000,255021.78188990627,42000.000000000015,18267.38926746166,OPTIMAL,true
41000,262908.01563072024,41000.000000000015,19118.95393951452,OPTIMAL,true
40000,271005.906597692,40000.000000000015,20014.298149621955,OPTIMAL,true
39000,279116.2765728618,39000.0,20767.81597944451,OPTIMAL,true
38000,287283.2117173638,38000.0,21639.905893536117,OPTIMAL,true
37000,295532.6991343041,37000.00000000001,22473.99110032362,OPTIMAL,true
36000,304087.6579812605,36000.00000000001,23348.15981686541,OPTIMAL,true
35000,313070.2956854357,35000.0,24319.106446478312,OPTIMAL,true
34000,322147.09575018217,33999.99999999999,25312.742898761848,OPTIMAL,true
33000,331434.31853580155,32999.99999999999,26231.85422290783,OPTIMAL,true
32000,340901.1088229539,31999.99999999999,27013.22806802888,OPTIMAL,true
31000,350542.6113312128,30999.999999999993,27869.7067172397,OPTIMAL,true
30000,360445.1309803129,29999.99999999999,28804.232335490837,OPTIMAL,true
29000,370404.378734029,28999.99999999999,29786.8145229983,OPTIMAL,true
28000,380428.8676607752,27999.99999999999,30851.55046848382,OPTIMAL,true
27000,390464.7639176284,26999.999999999993,31907.898030242737,OPTIMAL,true
26000,400549.97794676817,26000.0,33013.39976763836,OPTIMAL,true
25000,410938.26110017044,24999.999999999996,34127.11702329105,OPTIMAL,true
24000,421637.2699472742,24000.0,35285.60286510148,OPTIMAL,true
23000,432668.3392525554,23000.0,36476.66364991482,OPTIMAL,true
22000,443786.5411574698,22000.000000000004,37632.782576777194,OPTIMAL,true
21000,454957.46982503374,21000.000000000004,38611.615318732416,OPTIMAL,true
20000,466204.8594433732,20000.0,39524.4140635043,OPTIMAL,true
19000,477734.38352750806,19000.0,40570.02265372168,OPTIMAL,true
