Lambda,Total_Cost,Total_Carbon,Objective_Value
0.0,772557.57,0.0,0.0
0.01,772557.57,0.0,7725.5756999999985
0.02,772557.57,0.0,15451.151399999997
0.03,772557.57,0.0,23176.727100000004
0.04,772557.57,0.0,30902.302799999994
0.05,748645.21,1174.629,38548.15805
0.06,601977.6699999999,9719.042000000001,45254.559680000006
0.07,553207.22,13041.603000000001,50853.19619
0.08,468001.94,19840.435,55693.35539999998
0.09,398452.3000000001,26204.885,59707.15235000001
0.1,309923.26999999996,35346.901,62804.53790000001
0.11,262781.81000000006,41015.58500000001,65409.869750000005
0.12,238735.61000000004,44116.583,67470.86624
0.13,213098.81,47791.344000000005,69281.31457999999
0.14,192686.11000000002,50968.631,70809.07805999997
0.15,179288.98999999996,53301.14299999999,72199.32005000001
0.16,177174.37999999998,53696.342,73452.82808000004
0.17,157645.77999999997,57558.401999999995,74573.25626
0.18,154277.61999999997,58276.67399999999,75556.84427999999
0.19,154277.61999999997,58276.67399999999,76516.85373999998
0.2,143160.71999999997,60968.293,77406.77840000002
0.21,137671.95,62345.176,78163.79853999999
0.22,133578.35000000003,63462.488000000005,78887.97764
0.23,126971.24,65337.761999999995,79513.46194000001
0.24,122793.29000000002,66620.73,80102.1444
0.25,115326.76000000002,69011.398,80590.23849999998
0.26,115326.76000000002,69011.398,81053.39212
0.27,115326.76000000002,69011.398,81516.54573999999
0.28,112694.76000000002,70008.998,81961.01136000002
0.29,112694.76000000002,70008.998,82387.86898000001
0.3,108554.48,71717.538,82768.62060000001
0.31,105601.66999999998,73024.566,83123.46824000005
0.32,101507.31999999999,74928.24600000001,83433.54968
0.33,101507.31999999999,74928.24600000001,83699.34042000001
0.34,97437.89,76968.36600000001,83928.00415999997
0.35,97437.89,76968.36600000001,84132.69939999998
0.36,97437.89,76968.36600000001,84337.39463999998
0.37,97312.33000000002,77040.864,84541.30641999998
0.38,97312.33000000002,77040.864,84744.02107999995
0.39,95509.99,78175.512,84935.95842000004
0.4,95509.99,78175.512,85109.30320000002
0.41,93493.69,79522.962,85250.96048
0.42,93493.69,79522.962,85390.66776000001
0.43,93493.69,79522.962,85530.37504000003
0.44,92447.45000000001,80315.754,85653.70024000003
0.45,87299.32000000002,84410.39300000001,85710.41014999998
0.46,87299.32000000002,84410.39300000001,85739.29941999995
0.47,87277.72000000002,84429.52500000002,85768.17665
0.48,85365.36999999997,86170.18800000002,85783.87535999999
0.49,85365.36999999997,86170.18800000002,85775.82718000002
0.5,85365.36999999997,86170.18800000002,85767.779
0.51,85365.36999999997,86170.18800000002,85759.73081999997
0.52,85365.36999999997,86170.18800000002,85751.68264000003
0.53,85365.36999999997,86170.18800000002,85743.63446
0.54,83704.76999999996,88095.26800000001,85724.39908
0.55,83704.76999999996,88095.26800000001,85680.49410000003
0.56,83704.76999999996,88095.26800000001,85636.58911999999
0.57,83704.76999999996,88095.26800000001,85592.68413999997
0.58,83704.76999999996,88095.26800000001,85548.77916000002
0.59,83704.76999999996,88095.26800000001,85504.87417999997
0.6,83704.76999999996,88095.26800000001,85460.96919999998
0.61,83704.76999999996,88095.26800000001,85417.06421999999
0.62,83704.76999999996,88095.26800000001,85373.15924000002
0.63,83704.76999999996,88095.26800000001,85329.25425999999
0.64,83704.76999999996,88095.26800000001,85285.34928000002
0.65,83704.76999999996,88095.26800000001,85241.44430000002
0.66,83704.76999999996,88095.26800000001,85197.53932000001
0.67,83704.76999999996,88095.26800000001,85153.63434
0.68,82983.90999999996,89581.543,85095.15255999997
0.69,82983.90999999996,89581.543,85029.17623000001
0.7,82983.90999999996,89581.543,84963.19989999998
0.71,82860.24999999997,89875.06000000001,84894.54489999996
0.72,82860.24999999997,89875.06000000001,84824.39679999997
0.73,82397.01999999999,91101.07600000004,84747.11512000003
0.74,82397.01999999999,91101.07600000004,84660.07456
0.75,82397.01999999999,91101.07600000004,84573.03400000001
0.76,82397.01999999999,91101.07600000004,84485.99343999999
0.77,82397.01999999999,91101.07600000004,84398.95288000001
0.78,82397.01999999999,91101.07600000004,84311.91232
0.79,82397.01999999999,91101.07600000004,84224.87176000001
0.8,82397.01999999999,91101.07600000004,84137.8312
0.81,82276.01999999999,91594.82600000004,84046.59314000001
0.82,82045.14,92637.33800000003,83951.73563999998
0.83,82045.14,92637.33800000003,83845.81366000001
0.84,82045.14,92637.33800000003,83739.89167999996
0.85,82045.14,92637.33800000003,83633.96970000002
0.86,82045.14,92637.33800000003,83528.04772
0.87,82045.14,92637.33800000003,83422.12574000002
0.88,82045.14,92637.33800000003,83316.20375999999
0.89,82045.14,92637.33800000003,83210.28178
0.9,82045.14,92637.33800000003,83104.35980000003
0.91,81985.78000000001,93180.25800000003,82993.28301999996
0.92,81985.78000000001,93180.25800000003,82881.33824000001
0.93,81985.78000000001,93180.25800000003,82769.39345999999
0.94,81985.78000000001,93180.25800000003,82657.44868
0.95,81985.78000000001,93180.25800000003,82545.50389999998
0.96,81985.78000000001,93180.25800000003,82433.55912000005
0.97,81985.78000000001,93180.25800000003,82321.61434
0.98,81985.78000000001,93180.25800000003,82209.66956
0.99,81985.78000000001,93180.25800000003,82097.72478000003
1.0,81985.78000000001,93180.25800000003,81985.78
