lambda,total_cost,total_carbon,objective_value
0.0,772557.57,0.0,0.0
0.1,309923.26999999996,35346.901,62804.53790000001
0.2,143160.71999999997,60968.293,77406.77840000002
0.3,108554.48,71717.538,82768.62060000001
0.4,95509.99,78175.512,85109.30320000002
0.5,85365.36999999997,86170.18800000002,85767.779
0.6,83704.76999999996,88095.26800000001,85460.96919999998
0.7,82983.90999999996,89581.543,84963.19989999998
0.8,82397.01999999999,91101.07600000004,84137.8312
0.9,82045.14,92637.33800000003,83104.35980000003
1.0,81985.78000000001,93180.25800000003,81985.78
